Ticker,Year,Month,Monthly_Return_Percentage,Date
MA,2023,4,4.519043808902447,2023-04-01
MA,2023,5,-2.2254509925073855,2023-05-01
MA,2023,6,6.015125318289092,2023-06-01
MA,2023,7,1.029126919620054,2023-07-01
MA,2023,8,4.642566157552298,2023-08-01
MA,2023,9,-4.787055299993461,2023-09-01
MA,2023,10,-4.408104940727066,2023-10-01
MA,2023,11,9.2901335893319,2023-11-01
MA,2023,12,2.956381653142138,2023-12-01
MA,2024,1,7.842274754854501,2024-01-01
MA,2024,2,3.5002049818637806,2024-02-01
MA,2024,3,0.4386663965312951,2024-03-01
MA,2024,4,-7.79734462053295,2024-04-01
MA,2024,5,1.1728091747763338,2024-05-01
MA,2024,6,-2.08405664102342,2024-06-01
MA,2024,7,5.730888292828874,2024-07-01
MA,2024,8,4.070489838253428,2024-08-01
V,2010,1,-4.978206540206006,2010-01-01
V,2010,2,3.7688710427892818,2010-02-01
V,2010,3,6.536847158314185,2010-03-01
V,2010,4,-2.3470944089933923,2010-04-01
V,2010,5,-22.092643121851257,2010-05-01
V,2010,6,2.617753479157202,2010-06-01
V,2010,7,1.1918240887578269,2010-07-01
V,2010,8,-3.6595224446721435,2010-08-01
V,2010,9,4.284029469777126,2010-09-01
V,2010,10,5.604308459716184,2010-10-01
V,2010,11,-2.562116763357391,2010-11-01
V,2010,12,-5.513702431678407,2010-12-01
V,2011,1,0.6525762058994949,2011-01-01
V,2011,2,2.9691834141450255,2011-02-01
V,2011,3,2.2700568146484126,2011-03-01
V,2011,4,5.20922071826737,2011-04-01
V,2011,5,1.4858187524587958,2011-05-01
V,2011,6,11.941888199933615,2011-06-01
V,2011,7,-2.5136152200877238,2011-07-01
V,2011,8,3.4862440328334667,2011-08-01
V,2011,9,-1.994813151993724,2011-09-01
V,2011,10,5.462583728276252,2011-10-01
V,2011,11,8.638193632932351,2011-11-01
V,2011,12,3.968027056630674,2011-12-01
V,2012,1,1.1199626088828507,2012-01-01
V,2012,2,13.635033300698622,2012-02-01
V,2012,3,0.7946045114235035,2012-03-01
V,2012,4,4.4464815606816765,2012-04-01
V,2012,5,-8.880373165680231,2012-05-01
V,2012,6,9.979708342523713,2012-06-01
V,2012,7,3.313211882643971,2012-07-01
V,2012,8,0.7001614998414504,2012-08-01
V,2012,9,6.506826035027107,2012-09-01
V,2012,10,5.253751581979937,2012-10-01
V,2012,11,4.0748268187379155,2012-11-01
V,2012,12,1.3303568914858197,2012-12-01
V,2013,1,4.61450964573096,2013-01-01
V,2013,2,-0.15159186246844217,2013-02-01
V,2013,3,5.835933303811873,2013-03-01
V,2013,4,-0.6298270971004851,2013-04-01
V,2013,5,7.340038404121435,2013-05-01
V,2013,6,4.034581537112149,2013-06-01
V,2013,7,-2.8488096825232794,2013-07-01
V,2013,8,-2.5214594059457807,2013-08-01
V,2013,9,10.416401157531805,2013-09-01
V,2013,10,3.291640285580899,2013-10-01
V,2013,11,2.210587802924541,2013-11-01
V,2013,12,9.176476795637624,2013-12-01
V,2014,1,-2.9884220776536425,2014-01-01
V,2014,2,4.816976827000713,2014-02-01
V,2014,3,-4.941556265694698,2014-03-01
V,2014,4,-3.6797922476349063,2014-04-01
V,2014,5,4.236554010451637,2014-05-01
V,2014,6,-0.22953494667416507,2014-06-01
V,2014,7,-1.0030254607729598,2014-07-01
V,2014,8,0.3857756481959285,2014-08-01
V,2014,9,-1.1032423303519918,2014-09-01
V,2014,10,14.634928322723672,2014-10-01
V,2014,11,6.765166521978751,2014-11-01
V,2014,12,1.6728898028666193,2014-12-01
V,2015,1,-2.643346653462251,2015-01-01
V,2015,2,6.356985688547535,2015-02-01
V,2015,3,-3.8045279462834585,2015-03-01
V,2015,4,1.0460603643657393,2015-04-01
V,2015,5,5.119723530895993,2015-05-01
V,2015,6,-1.7164255466630154,2015-06-01
V,2015,7,10.693275818284555,2015-07-01
V,2015,8,-8.38894776890241,2015-08-01
V,2015,9,1.7530818557163172,2015-09-01
V,2015,10,10.438930281825034,2015-10-01
V,2015,11,3.147558520368084,2015-11-01
V,2015,12,-2.764395540490349,2015-12-01
V,2016,1,-3.6890419828891505,2016-01-01
V,2016,2,0.7868063308978802,2016-02-01
V,2016,3,4.0253459605714115,2016-03-01
V,2016,4,-0.3457886078345037,2016-04-01
V,2016,5,2.687181437633462,2016-05-01
V,2016,6,-5.849904569053828,2016-06-01
V,2016,7,5.041014931870793,2016-07-01
V,2016,8,3.841595857641496,2016-08-01
V,2016,9,1.8016842205983492,2016-09-01
V,2016,10,-1.2593646632821074,2016-10-01
V,2016,11,-7.607618512402313,2016-11-01
V,2016,12,3.4614461174240225,2016-12-01
V,2017,1,5.58082764189302,2017-01-01
V,2017,2,7.771301537350069,2017-02-01
V,2017,3,-0.10773022860797524,2017-03-01
V,2017,4,2.6817491307551866,2017-04-01
V,2017,5,4.481017928982655,2017-05-01
V,2017,6,-1.6129389532895893,2017-06-01
V,2017,7,7.357315291350725,2017-07-01
V,2017,8,3.0171927053356686,2017-08-01
V,2017,9,1.3533560892074672,2017-09-01
V,2017,10,5.426494623131351,2017-10-01
V,2017,11,-0.16713748298770698,2017-11-01
V,2017,12,3.0243981404430356,2017-12-01
V,2018,1,9.856077274670481,2018-01-01
V,2018,2,-3.86599551849124,2018-02-01
V,2018,3,-0.4111693101351701,2018-03-01
V,2018,4,6.645392370519712,2018-04-01
V,2018,5,2.624809159405941,2018-05-01
V,2018,6,1.3635909441695908,2018-06-01
V,2018,7,4.417320758844401,2018-07-01
V,2018,8,6.103841549464463,2018-08-01
V,2018,9,2.7336996931962325,2018-09-01
V,2018,10,-6.117531689124765,2018-10-01
V,2018,11,0.9644230455268882,2018-11-01
V,2018,12,-6.541219255330449,2018-12-01
V,2019,1,6.363797008666593,2019-01-01
V,2019,2,6.488629867541046,2019-02-01
V,2019,3,5.174370839895124,2019-03-01
V,2019,4,3.488768178866445,2019-04-01
V,2019,5,-0.7952018094526263,2019-05-01
V,2019,6,7.66008696314949,2019-06-01
V,2019,7,3.0380647019713476,2019-07-01
V,2019,8,1.2591111014145444,2019-08-01
V,2019,9,-3.5297032612770542,2019-09-01
V,2019,10,3.9669611244985665,2019-10-01
V,2019,11,2.0158460686528876,2019-11-01
V,2019,12,1.8669455659155492,2019-12-01
V,2020,1,5.94847005275575,2020-01-01
V,2020,2,-8.629741446336554,2020-02-01
V,2020,3,-12.333091947699284,2020-03-01
V,2020,4,15.215651909085343,2020-04-01
V,2020,5,10.424507417007074,2020-05-01
V,2020,6,0.09967484580318485,2020-06-01
V,2020,7,-1.5597403096702631,2020-07-01
V,2020,8,11.510012446348124,2020-08-01
V,2020,9,-4.511836065795603,2020-09-01
V,2020,10,-10.970186813820627,2020-10-01
V,2020,11,15.470259571239275,2020-11-01
V,2020,12,3.6339091240191523,2020-12-01
V,2021,1,-9.483228934485556,2021-01-01
V,2021,2,9.1149611557993,2021-02-01
V,2021,3,0.47069138978562997,2021-03-01
V,2021,4,7.512462603208908,2021-04-01
V,2021,5,-2.903135992606821,2021-05-01
V,2021,6,3.771662719203787,2021-06-01
V,2021,7,4.82024498149095,2021-07-01
V,2021,8,-6.712190386157616,2021-08-01
V,2021,9,0.35554155336282695,2021-09-01
V,2021,10,-7.691896014829065,2021-10-01
V,2021,11,-10.623781881534914,2021-11-01
V,2021,12,13.35259272593331,2021-12-01
V,2022,1,7.732186276436296,2022-01-01
V,2022,2,-10.408025532369214,2022-02-01
V,2022,3,8.531301138905361,2022-03-01
V,2022,4,-5.446812650384196,2022-04-01
V,2022,5,-0.9202978381403998,2022-05-01
V,2022,6,-4.761269734033458,2022-06-01
V,2022,7,6.051709079740133,2022-07-01
V,2022,8,-5.2200592924956695,2022-08-01
V,2022,9,-11.706215529214967,2022-09-01
V,2022,10,15.600241463271436,2022-10-01
V,2022,11,5.264232047859973,2022-11-01
V,2022,12,-4.205190012407295,2022-12-01
V,2023,1,10.734296430462253,2023-01-01
V,2023,2,-5.53807943493669,2023-02-01
V,2023,3,3.345325519534971,2023-03-01
V,2023,4,3.1585722096320676,2023-04-01
V,2023,5,-2.43697231592317,2023-05-01
V,2023,6,4.855080809536841,2023-06-01
V,2023,7,1.0180472550648885,2023-07-01
V,2023,8,3.479244300507614,2023-08-01
V,2023,9,-7.470835406661498,2023-09-01
V,2023,10,3.792032712474254,2023-10-01
V,2023,11,7.279258263882197,2023-11-01
V,2023,12,1.553361119940856,2023-12-01
V,2024,1,6.303726765455153,2024-01-01
V,2024,2,2.2629023370892885,2024-02-01
V,2024,3,-1.667274893932497,2024-03-01
V,2024,4,-3.9600476349664357,2024-04-01
V,2024,5,1.9686826841226535,2024-05-01
V,2024,6,-3.3414759515432975,2024-06-01
V,2024,7,1.2183115954427624,2024-07-01
V,2024,8,3.2448431350545355,2024-08-01
